incident,command,service name,expansion
0,C:\Program Files (x86)\ASCON\ASCON Services\Ascon.AU.ControlCenter.exe,vwififlt,sys
0,C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe,AVP.KES.21.9,exe
1,c:\users\user~1\appdata\local\temp\2\86ba0902-6f7c-44eb-92a3-a30f252f9825\nic_mellanox_cx4_firmware\mst64.sys,TcHardWare,sys
0,systemroot\system32\drivers\wsdprint.sys,\Kontur.Plugin.Assistant-v3,-
0,C:\Windows\system32\DRIVERS\kneps.sys,igfx,sys
1,systemroot\system32\drivers\lhidfilt.sys,zne_tdi_proxy,vbs
0,"C:\Program Files (x86)\Lenovo\System Update\tvsuShim.exe /CM -search R -action INSTALL -includerebootpackages 1,3,4,5 -noicon -noreboot -nolicense -defaultupdate -schtask",Check Point Endpoint Client Watchdog,exe
1,C:\Windows\System32\drivers\rhproxy.sys,\rpa.reports_on_individuals,-
1,C:\Windows\System32\drivers\vwififlt.sys,\KLPkInst_5dce3511-7fee-41b4-9b12-0a45b575a265,-
1,C:\Program Files (x86)\Kaspersky Lab\KES.12.0.0\avp.exe,worldoftanks.exe,exe
0,C:\Program Files (x86)\Tencent\QQPCMgr\13.10.21936.216\QQPCHW-x64_ev.sys,\AsusSystemAnalysis_754F3273-0563-4F20-B12F,exe
0,-,\Автотест на узле PC.DOMAIN.COM,bat
0,systemroot\system32\driverstore\filerepository\iigd_dch.inf_amd64_dc29bdfd478be046\igdkmd64.sys,fjtwsvic,exe
0,C:\WINDOWS\system32\Drivers\zne_tdi_proxy.vbs,aswSP,sys
1,c:\program files (x86)\checkpoint\endpoint connect\watchdog\epwd.exe.,\rpa.lotus_egrn_robot,exe
1,-,avast! Tools,exe
0,-,MRxDAV,sys
0,С:\todo\tanki\win64\worldoftanks.exe,Intel(R) Content Protection HECI Service,exe
0,С:\todo\lesta\gamecenter\dlls\lgc_renderer_host.exe,RasAgileVpn,sys
0,C:\Windows\System32\DriverStore\FileRepository\asussci2.inf_amd64_5e38ce8081e93b46\ASUSSystemAnalysis\AsusSystemAnalysis.exe -j0,Intel(R) PRO/1000 PCI Express Network Connection Driver D,sys
0,C:\_My_Files\Work\2. Testing\0. Setup\Autorun\Script.bat,\NvTmRep_CrashReport1_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8},-
0,C:\Windows\wain_32\Fjicube\FJTWSVIC.exe,\Archive_security_log,bat
1,C:\Windows\Twain_32\fjicube\fjtwsvic.exe,PSEXESVC,ps1
1,C:\Windows\System32\drivers\aswSP.sys,\pop3_test,ps1
0,C:\rpa\rpa.lotus_egrn_robot\venv\Scripts\pythonw.exe src\robot.py,kaspersky secure connection service 5.14,exe
0,C:\Program Files\Avast Software\Avast\aswToolsSvc.exe,googleupdater,exe
1,C:\Windows\system32\drivers\mrxdav.sys,Zservice 1.5,ps1
0,systemroot%\system32\driverstore\filerepository\oem6.inf_amd64_1f87eb04e8ab15c8\intelcphecisvc.exe,PEAUTH,sys
0,C:\Windows\System32\drivers\AgileVpn.sys,\MMReminderService,exe
1,systemroot\system32\driverstore\filerepository\e1d.inf_amd64_f3c6513565231a23\e1d.sys,ActiveCB,exe
0,-,ROG Live Service,exe
0,C:\Scripts\archive_security_log.bat,\DockerAutoStart,exe
0,Выполнение: archive_security_log | forfiles -p C:\Windows\System32\winevt\Logs\ArchiveSecurity -s -m *.rar -d 90 -c cmd /c del @path,\asus\gpufanhelper,exe
1,%programfiles%\winrar\WinRAR.exe a -m5 -df C:\Windows\System32\winevt\Logs\ArchiveSecurity\Security%date%.rar C:\Windows\System32\winevt\Logs\Archive-Security*.evtx,\SIEBEL\Delete Temp Daily,bat
0,%SystemRoot%\PSEXESVC.ps1,Zone Alarm Firewall Driver,sys
1,D:\pop\syncsort_alerts1.ps1,TSSysKit,py
0,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Secure Connection 5.14\ksde.exe,lxssmanageruser_2696fc12,exe
0,"c:\program files (x86)\google\googleupdater\117.0.5860.0\updater.exe --system --windows-service --service=update --enable-logging --vmodule=*/components/winhttp/*=1,*/components/update_client/*=2,*/chrome/updater/*=2", Microsoft Edge Elevation Service,exe
0,C:\Program Files\Common Files\SecurIT\zservice15.ps1,\UninstallTool_SkipUAC_Администратор,exe
0,C:\Windows\System32\drivers\peauth.sys,Intel(R) PRO/1000 PCI Express Network Connection Driver D,sys
0,C:\Program Files\Mindjet\MindManager 18\MmReminderService.exe,Net Driver HPZ12,exe
0,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe C:\ActiveCB\ActiveCB.exe,\Windows\system32\pcalua.exe,exe
1,C:\Program Files\ASUS\ROG Live Service\ROGLiveService.exe,winvnc.exe,exe
0,C:\Program Files\Docker\Docker\Docker Desktop.exe,Аудио драйвер USB (WDM),-
0,Docker,NetGroup Packet Filter Driver,exe
0,C:\Program Files (x86)\ASUS\AI Suite III\DIP4\GpuFanHelper.exe C:\Program Files (x86)\ASUS\AI Suite III\AISuite3.exe -schedule C:\Program Files (x86)\ASUS\AI Suite III\DIP4\DIPAwayMode\DipAwayMode.exe,\systemroot\system32\drivers\ftser2k.sys,sys
0,E:\Siebel\UTILS\Clean_temp.bat,\bro_,exe
0,systemroot\system32\drivers\vsdatant.sys,\JVBmJwAZ \kcLyQpnR \UVAtfcnK \FnMSjQAJ,exe
0,C:\Program Files (x86)\Tencent\QQPCMgr\13.10.21936.216\TSSysKit64_EV.py,\MMReminderService,-
1,c:\windows\system32\svchost.exe -k lxssmanageruser -p,\Clear AD From Objects User,vbs
1,c:\program files (x86)\microsoft\edge\application\89.0.774.68\elevation_service.exe,360Safe HVM,sys
